Frequenza,Territorio,Dominio,Indicatore,Sesso,Edizione,TIME_PERIOD,Osservazione,'Stato dell"'osservazione',Territorio (NOTE_REF_AREA),Codifica territoriale ufficiale Istat,Indicatore (NOTE_DATA_TYPE),Descrizione indicatore,Fonte,Tempo (NOTE_TIME_PERIOD),Anno base,Unità di misura,Unità di moltiplicazione
Annuale,Piemonte,Paesaggio e patrimonio culturale,Densità e rilevanza del patrimonio museale,Totale,2025,2015,1.19,,,,,'Numero di strutture espositive permanenti per 100 km2 (musei, aree archeologiche e monumenti aperti al pubblico), ponderato per il numero dei visitatori.',Istat: Indagine sui musei e le istituzioni similari,,,Per 100 km2,
Annuale,Piemonte,Paesaggio e patrimonio culturale,Densità e rilevanza del patrimonio museale,Totale,2025,2018,1.17,,,,,'Numero di strutture espositive permanenti per 100 km2 (musei, aree archeologiche e monumenti aperti al pubblico), ponderato per il numero dei visitatori.',Istat: Indagine sui musei e le istituzioni similari,,,Per 100 km2,
Annuale,Piemonte,Paesaggio e patrimonio culturale,Densità e rilevanza del patrimonio museale,Totale,2025,2019,1.08,,,,,'Numero di strutture espositive permanenti per 100 km2 (musei, aree archeologiche e monumenti aperti al pubblico), ponderato per il numero dei visitatori.',Istat: Indagine sui musei e le istituzioni similari,,,Per 100 km2,
Annuale,Piemonte,Paesaggio e patrimonio culturale,Densità e rilevanza del patrimonio museale,Totale,2025,2020,1.05,,,,,'Numero di strutture espositive permanenti per 100 km2 (musei, aree archeologiche e monumenti aperti al pubblico), ponderato per il numero dei visitatori.',Istat: Indagine sui musei e le istituzioni similari,,,Per 100 km2,
Annuale,Piemonte,Paesaggio e patrimonio culturale,Densità e rilevanza del patrimonio museale,Totale,2025,2021,1.18,,,,,'Numero di strutture espositive permanenti per 100 km2 (musei, aree archeologiche e monumenti aperti al pubblico), ponderato per il numero dei visitatori.',Istat: Indagine sui musei e le istituzioni similari,,,Per 100 km2,
Annuale,Piemonte,Paesaggio e patrimonio culturale,Densità e rilevanza del patrimonio museale,Totale,2025,2022,1.11,,,,,'Numero di strutture espositive permanenti per 100 km2 (musei, aree archeologiche e monumenti aperti al pubblico), ponderato per il numero dei visitatori.',Istat: Indagine sui musei e le istituzioni similari,,,Per 100 km2,
Annuale,'Valle d"'Aosta / Vallée d"'Aoste',Paesaggio e patrimonio culturale,Densità e rilevanza del patrimonio museale,Totale,2025,2015,1.19,,,,,'Numero di strutture espositive permanenti per 100 km2 (musei, aree archeologiche e monumenti aperti al pubblico), ponderato per il numero dei visitatori.',Istat: Indagine sui musei e le istituzioni similari,,,Per 100 km2,
Annuale,'Valle d"'Aosta / Vallée d"'Aoste',Paesaggio e patrimonio culturale,Densità e rilevanza del patrimonio museale,Totale,2025,2018,0.97,,,,,'Numero di strutture espositive permanenti per 100 km2 (musei, aree archeologiche e monumenti aperti al pubblico), ponderato per il numero dei visitatori.',Istat: Indagine sui musei e le istituzioni similari,,,Per 100 km2,
Annuale,'Valle d"'Aosta / Vallée d"'Aoste',Paesaggio e patrimonio culturale,Densità e rilevanza del patrimonio museale,Totale,2025,2019,1.05,,,,,'Numero di strutture espositive permanenti per 100 km2 (musei, aree archeologiche e monumenti aperti al pubblico), ponderato per il numero dei visitatori.',Istat: Indagine sui musei e le istituzioni similari,,,Per 100 km2,
Annuale,'Valle d"'Aosta / Vallée d"'Aoste',Paesaggio e patrimonio culturale,Densità e rilevanza del patrimonio museale,Totale,2025,2020,1.37,,,,,'Numero di strutture espositive permanenti per 100 km2 (musei, aree archeologiche e monumenti aperti al pubblico), ponderato per il numero dei visitatori.',Istat: Indagine sui musei e le istituzioni similari,,,Per 100 km2,
