;"Direzione generale Bilancio 
Servizio I
Ufficio di Statistica                                  ";;;;;;;;;;;;;
;Rilevazione 2022;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Visitatori ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;3.028;2.229;6.000;14.230;11.483;8.091;13.548;36.215;13.291;10.612;7.277;10.445;136.449;
BASILICATA;4.305;3.098;6.500;19.147;24.024;15.338;14.872;40.012;22.308;25.809;8.336;10.065;193.814;
CALABRIA;7.207;5.785;11.691;28.545;48.419;37.488;48.711;104.620;54.502;33.622;19.904;23.696;424.190;
CAMPANIA;311.235;319.256;438.261;912.778;1.004.038;839.224;867.102;1.014.061;884.221;931.486;506.955;500.095;8.528.712;
EMILIA ROMAGNA;44.276;49.494;54.364;121.857;108.040;72.833;58.070;84.631;80.806;109.680;62.034;54.898;900.983;
FRIULI-VENEZIA GIULIA;41.186;51.105;73.933;139.970;116.830;111.013;117.706;170.142;101.565;115.654;59.140;51.665;1.149.909;
LAZIO;575.569;834.774;1.320.654;2.355.911;2.400.170;2.190.835;2.159.360;2.361.940;2.384.240;2.473.250;1.782.336;1.705.662;22.544.701;
LIGURIA;4.925;5.005;9.042;17.662;27.473;16.715;21.238;20.801;14.857;25.631;10.753;9.953;184.055;
LOMBARDIA;66.733;83.418;105.863;193.700;177.403;152.177;160.461;183.575;165.043;164.210;121.487;118.539;1.692.609;
MARCHE;14.653;12.547;17.107;58.593;51.999;36.477;45.354;79.254;43.692;37.398;20.567;22.086;439.727;
MOLISE;1.339;1.421;2.067;8.261;7.881;7.773;7.024;22.666;9.227;8.854;3.273;3.400;83.186;
PIEMONTE;98.373;90.485;121.635;231.813;198.019;149.808;137.079;200.250;155.313;211.568;166.828;181.625;1.942.796;
PUGLIA;10.834;10.095;20.853;63.825;73.619;42.200;45.954;80.876;63.630;52.486;23.481;25.287;513.140;
SARDEGNA;6.966;6.547;9.111;37.666;55.796;48.659;55.808;83.796;68.611;40.096;13.572;11.058;437.686;
TOSCANA;199.135;250.797;357.306;677.978;680.756;673.281;707.393;726.230;681.153;693.717;471.934;473.117;6.592.797;
UMBRIA;5.958;4.248;7.841;19.385;18.600;17.654;31.897;51.716;39.024;26.555;12.944;16.852;252.674;
VENETO;30.641;43.495;57.505;112.091;120.068;103.946;92.099;107.494;119.339;120.558;72.636;58.761;1.038.633;
Totale complessivo;1.426.363;1.773.799;2.619.733;5.013.412;5.124.618;4.523.512;4.583.676;5.368.279;4.900.822;5.081.186;3.363.457;3.277.204;47.056.061;
;;;;;;;;;;;;;;
