,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA ROMAGNA,FRIULI-VENEZIA GIULIA,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,TOSCANA,UMBRIA,VENETO,Totale complessivo
Novembre_2021,2.799,7.937,8.488,379.596,52.268,41.344,662.355,5.389,83.572,15.200,2.812,123.332,19.627,9.358,309.714,7.673,50.308,1.781.772
Dicembre_2021,2.556,7.433,8.130,369.924,40.986,35.173,588.338,4.364,79.824,15.947,1.381,113.755,15.900,6.578,282.378,7.794,42.735,1.623.196
Totale_regione_2021,55.567,141.570,210.167,4.222.376,473.178,631.169,5.326.151,61.267,754.459,257.765,57.592,905.704,259.888,242.133,2.654.162,107.311,438.141,16.798.600
Gennaio_2022,3.028,4.305,7.207,311.235,44.276,41.186,575.569,4.925,66.733,14.653,1.339,98.373,10.834,6.966,199.135,5.958,30.641,1.426.363
Febbraio_2022,2.229,3.098,5.785,319.256,49.494,51.105,834.774,5.005,83.418,12.547,1.421,90.485,10.095,6.547,250.797,4.248,43.495,1.773.799
Marzo_2022,6.000,6.500,11.691,438.261,54.364,73.933,1.320.654,9.042,105.863,17.107,2.067,121.635,20.853,9.111,357.306,7.841,57.505,2.619.733
Aprile_2022,14.230,19.147,28.545,912.778,121.857,139.970,2.355.911,17.662,193.700,58.593,8.261,231.813,63.825,37.666,677.978,19.385,112.091,5.013.412
Maggio_2022,11.483,24.024,48.419,1.004.038,108.040,116.830,2.400.170,27.473,177.403,51.999,7.881,198.019,73.619,55.796,680.756,18.600,120.068,5.124.618
Giugno_2022,8.091,15.338,37.488,839.224,72.833,111.013,2.190.835,16.715,152.177,36.477,7.773,149.808,42.200,48.659,673.281,17.654,103.946,4.523.512
Luglio_2022,13.548,14.872,48.711,867.102,58.070,117.706,2.159.360,21.238,160.461,45.354,7.024,137.079,45.954,55.808,707.393,31.897,92.099,4.583.676
Agosto_2022,36.215,40.012,104.620,1.014.061,84.631,170.142,2.361.940,20.801,183.575,79.254,22.666,200.250,80.876,83.796,726.230,51.716,107.494,5.368.279
Settembre_2022,13.291,22.308,54.502,884.221,80.806,101.565,2.384.240,14.857,165.043,43.692,9.227,155.313,63.630,68.611,681.153,39.024,119.339,4.900.822
Ottobre_2022,10.612,25.809,33.622,931.486,109.680,115.654,2.473.250,25.631,164.210,37.398,8.854,211.568,52.486,40.096,693.717,26.555,120.558,5.081.186
Novembre_2022,7.277,8.336,19.904,506.955,62.034,59.140,1.782.336,10.753,121.487,20.567,3.273,166.828,23.481,13.572,471.934,12.944,72.636,3.363.457
Dicembre_2022,10.445,10.065,23.696,500.095,54.898,51.665,1.705.662,9.953,118.539,22.086,3.400,181.625,25.287,11.058,473.117,16.852,58.761,3.277.204
Totale_regione_2022,136.449,193.814,424.190,8.528.712,900.983,1.149.909,22.544.701,184.055,1.692.609,439.727,83.186,1.942.796,513.140,437.686,6.592.797,252.674,1.038.633,47.056.061
Gennaio_2023,6.950,9.119,16.734,451.244,61.085,63.870,1.746.098,14.308,115.126,25.306,3.385,189.861,26.241,10.607,446.965,16.506,60.452,3.263.857
Febbraio_2023,5.426,6.710,14.092,450.089,64.055,59.426,2.023.942,23.262,120.474,19.364,1.847,156.217,25.942,9.032,468.305,10.935,75.179,3.534.297
Marzo_2023,10.924,16.124,24.041,822.667,99.387,112.821,2.663.801,25.440,172.686,42.836,4.879,201.397,55.575,15.350,688.683,30.110,91.844,5.078.565
Aprile_2023,28.111,36.354,63.298,1.308.432,187.601,198.467,2.982.578,43.404,250.706,79.648,14.973,368.829,102.433,51.289,1.016.358,61.649,129.553,6.923.683
Maggio_2023,18.242,29.401,65.076,1.244.965,100.727,161.257,2.924.286,28.267,214.651,52.826,14.074,234.055,81.990,62.925,918.357,57.509,108.064,6.316.672
