;"Direzione generale Bilancio 
Servizio I
Ufficio di Statistica                                  ";;;;;;;;;;;;;
;Rilevazione 2020;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Visitatori ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;6.800;7.373;849;;123;2.803;9.580;21.923;8.855;4.053;242;15;62.616;
BASILICATA;6.219;9.524;1.196;;91;4.217;14.953;48.828;17.013;8.856;515;;111.412;
CALABRIA;16.525;11.470;1.506;;35;1.457;18.356;53.525;25.798;11.431;893;;140.996;
CAMPANIA;444.703;467.648;165.287;;30.697;214.112;328.570;522.813;368.737;273.901;151.230;147.646;3.115.344;
EMILIA ROMAGNA;61.373;53.906;1.474;;2.341;20.019;33.666;63.055;49.194;40.350;2.656;;328.034;
FRIULI-VENEZIA GIULIA;55.246;49.686;7.658;;7.556;34.577;63.460;110.876;69.545;53.283;28.930;10.991;491.808;
LAZIO;1.248.663;1.621.934;160.374;;10.587;169.857;341.344;569.795;423.701;350.889;43.296;1.560;4.942.000;
LIGURIA;22.549;19.496;660;;;2.893;7.484;14.652;9.804;6.729;360;;84.627;
LOMBARDIA;113.896;94.756;1.069;;;26.898;67.769;95.095;81.189;60.245;3.749;;544.666;
MARCHE;47.625;26.527;1.544;;212;10.147;30.848;62.102;36.587;18.057;1.645;;235.294;
MOLISE;3.352;2.972;362;;8;847;9.215;26.272;10.374;3.386;676;238;57.702;
PIEMONTE;158.409;107.525;8.570;;3.941;32.163;55.248;93.270;72.428;64.427;4.663;;600.644;
PUGLIA;24.643;26.469;3.413;;;2.654;14.480;40.089;28.985;19.947;1.425;;162.105;
SARDEGNA;8.712;8.543;1.414;;564;8.114;29.137;55.654;30.221;12.685;1.155;107;156.306;
TOSCANA;420.251;428.978;40.071;;6.997;90.895;201.851;315.392;244.491;162.882;8.262;;1.920.070;
UMBRIA;18.697;12.440;1.162;;160;6.791;16.057;40.766;19.092;9.539;679;;125.383;
VENETO;46.403;42.006;2.316;;2.490;10.923;20.963;55.108;42.316;32.799;2.112;;257.436;
Totale complessivo;2.704.066;2.991.253;398.925;0;65.802;639.367;1.262.981;2.189.215;1.538.330;1.133.459;252.488;160.557;13.336.443;
N.B. Dal conteggio sono stati defalcati n. 464.639  visitatori  corrispondenti ai biglietti trasformati in voucher e non utilizzati nel corso dell'anno 2020,  i quali verranno eventualmente conteggiati al momento del loro utilizzo.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
