;"Direzione Generale Bilancio
Servizio II
Ufficio di Statistica                                  ";;;;;;;;;;;;;
;Rilevazione 2018;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Visitatori ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;5.539;5.903;10.164;17.737;19.511;13.678;16.087;25.540;14.963;9.599;7.707;7.294;153.722;
BASILICATA;7.012;5.390;14.986;39.068;40.302;27.654;17.981;38.308;24.759;23.272;12.472;10.991;262.195;
CALABRIA;10.402;11.117;25.589;56.168;64.137;45.182;54.550;113.834;49.357;30.334;18.591;18.971;498.232;
CAMPANIA;353.649;625.500;974.723;1.443.646;1.424.261;1.091.890;1.070.136;1.122.498;1.159.108;1.120.586;466.623;652.338;11.504.958;
EMILIA ROMAGNA;42.642;48.987;82.362;199.260;152.826;78.927;69.764;84.876;94.742;104.685;84.172;63.864;1.107.107;
FRIULI-VENEZIA GIULIA;42.995;30.481;101.982;176.259;153.279;99.462;104.444;133.329;116.427;90.008;57.058;58.389;1.164.113;
LAZIO;1.358.659;1.646.715;2.348.709;2.488.420;2.549.625;2.437.875;2.225.356;2.376.427;2.199.940;2.336.920;1.522.035;1.516.322;25.007.003;
LIGURIA;13.852;16.061;15.617;41.536;39.132;18.967;23.202;37.347;25.217;28.602;15.753;17.342;292.628;
LOMBARDIA;92.629;88.275;141.338;243.981;231.977;163.173;182.212;199.263;184.175;159.237;127.417;106.590;1.920.267;
MARCHE;19.359;13.486;42.490;89.706;70.715;43.419;51.926;81.813;50.026;28.717;26.991;30.995;549.643;
MOLISE;2.365;1.420;3.750;13.918;13.541;9.342;7.332;16.035;5.896;3.680;2.950;3.017;83.246;
PIEMONTE;181.108;122.964;192.248;387.899;265.815;172.743;152.330;231.398;203.975;258.980;212.025;230.203;2.611.688;
PUGLIA;24.255;24.125;48.740;123.069;130.137;70.900;56.147;94.932;84.958;66.248;40.250;31.636;795.397;
SARDEGNA;9.225;6.813;12.649;50.050;69.027;59.712;72.135;93.463;74.658;37.031;9.604;9.364;503.731;
TOSCANA;340.483;398.494;616.572;827.643;822.251;740.486;750.181;760.734;759.698;675.050;460.850;409.515;7.561.957;
UMBRIA;12.236;10.538;19.556;44.700;31.558;26.249;31.652;43.576;28.650;23.075;17.090;18.222;307.102;
VENETO;52.482;65.542;95.747;124.162;110.676;78.628;73.370;81.997;89.119;98.728;63.114;57.218;990.783;
Totale complessivo;2.568.892;3.121.811;4.747.222;6.367.222;6.188.770;5.178.287;4.958.805;5.535.370;5.165.668;5.094.752;3.144.702;3.242.271;55.313.772;
;;;;;;;;;;;;;;
