;"Direzione Generale
Servizio II                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     UFFICIO DI STATISTICA";;;;;;;;;;;;;
;Rilevazione 2016;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
"Tavola 5 - Serie regionale mensile Visitatori                                                                                                                                                                                                                                                                                                                                                N.B. il numero dei visitatori de ""Il Vittoriano"" in Roma, non rilevabile fino al 2014, è stato assunto pari agli utilizzatori dell'ascensore che porta alla terrazza panoramica del monumento, in vista di una futura e più puntuale rilevazione delle presenze.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;8.459;5.956;15.628;15.918;17.255;9.906;12.851;24.479;9.822;7.723;6.146;6.038;140.181;
BASILICATA;8.189;6.463;17.023;34.252;34.448;22.360;16.575;36.728;22.083;22.318;7.616;7.413;235.468;
CALABRIA;12.207;9.986;25.379;42.213;63.747;47.214;56.491;125.906;52.337;29.975;16.600;16.208;498.263;
CAMPANIA;257.980;258.018;570.471;969.445;967.245;815.901;816.317;911.604;820.972;755.952;360.325;436.978;7.941.208;
EMILIA ROMAGNA;44.162;44.857;117.467;180.753;141.996;81.935;65.734;93.232;83.022;85.954;47.882;48.475;1.035.469;
FRIULI-VENEZIA GIULIA;71.886;35.808;98.491;129.783;115.156;138.883;132.423;153.810;114.924;91.304;47.470;70.893;1.200.831;
LAZIO;995.656;1.258.102;1.852.536;2.141.485;2.123.839;1.753.363;1.894.477;1.964.747;1.898.296;1.993.367;1.285.256;1.210.594;20.371.718;
LIGURIA;6.791;5.475;13.619;26.523;24.046;12.714;21.873;37.057;16.964;20.507;8.962;11.436;205.967;
LOMBARDIA;76.397;78.887;154.875;221.747;202.341;158.353;167.225;191.333;172.005;161.908;134.747;112.650;1.832.468;
MARCHE;15.919;15.312;43.162;82.671;62.217;44.987;50.462;86.985;41.837;34.116;17.214;24.359;519.241;
MOLISE;1.976;2.432;7.462;12.833;11.556;4.850;6.275;17.230;4.643;2.831;1.946;2.219;76.253;
PIEMONTE;168.449;101.092;195.570;331.515;252.358;190.124;177.726;256.286;191.613;254.794;157.122;187.374;2.464.023;
PUGLIA;17.319;16.085;45.073;86.588;102.951;49.938;46.199;90.550;66.950;55.553;25.932;25.251;628.389;
SARDEGNA;9.981;8.097;22.704;43.670;70.576;58.145;72.517;106.806;69.832;37.427;10.547;9.166;519.468;
TOSCANA;269.160;310.241;563.987;655.453;658.036;630.383;661.273;692.606;636.952;614.051;347.763;356.760;6.396.665;
UMBRIA;11.988;10.195;26.516;33.316;28.491;23.012;25.021;47.294;19.346;20.275;5.727;8.853;260.034;
VENETO;47.239;72.846;96.116;136.711;114.462;91.822;84.374;90.426;91.037;110.917;61.226;61.051;1.058.227;
Totale complessivo;2.023.758;2.239.852;3.866.079;5.144.876;4.990.720;4.133.890;4.307.813;4.927.079;4.312.635;4.298.972;2.542.481;2.595.718;45.383.873;
;;;;;;;;;;;;;;
