;"Direzione generale Bilancio 
Servizio I
Ufficio di Statistica                                  ";;;;;;;;;;;;;
;Rilevazione 2023;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Visitatori ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;6.950;5.426;10.924;28.111;18.242;12.022;15.971;41.187;17.885;10.695;8.023;13.068;188.504;
BASILICATA;9.119;6.710;16.124;36.354;29.401;22.513;21.819;31.465;21.200;26.337;12.118;12.606;245.766;
CALABRIA;16.734;14.092;24.041;63.298;65.076;51.515;49.994;109.087;52.670;34.915;21.591;19.994;523.007;
CAMPANIA;451.244;450.089;822.667;1.308.432;1.244.965;1.064.825;971.987;1.048.663;1.006.827;1.067.502;491.292;492.049;10.420.542;
EMILIA ROMAGNA;61.085;64.055;99.387;187.601;100.727;73.115;57.937;75.750;82.807;92.055;70.167;67.789;1.032.475;
FRIULI-VENEZIA GIULIA;63.870;59.426;112.821;198.467;161.257;133.870;146.909;176.610;136.220;114.822;59.816;71.696;1.435.784;
LAZIO;1.746.098;2.023.942;2.663.801;2.982.578;2.924.286;2.784.380;2.180.547;2.303.076;2.292.221;2.250.960;1.635.620;1.634.466;27.421.975;
LIGURIA;14.308;23.262;25.440;43.404;28.267;21.310;20.602;26.674;20.608;22.286;13.274;11.703;271.138;
LOMBARDIA;115.126;120.474;172.686;250.706;214.651;173.670;170.926;191.955;171.215;171.497;131.712;121.557;2.006.175;
MARCHE;25.306;19.364;42.836;79.648;52.826;39.145;43.251;68.690;40.631;32.406;25.189;29.102;498.394;
MOLISE;3.385;1.847;4.879;14.973;14.074;10.446;10.697;24.767;10.295;7.246;3.594;5.867;112.070;
PIEMONTE;189.861;156.217;201.397;368.829;234.055;167.962;155.587;200.000;153.778;202.804;185.381;204.096;2.419.967;
PUGLIA;26.241;25.942;55.575;102.433;81.990;59.430;40.634;67.433;59.749;57.796;30.379;23.650;631.252;
SARDEGNA;10.607;9.032;15.350;51.289;62.925;58.265;63.673;91.006;78.214;43.815;13.432;10.187;507.795;
TOSCANA;446.965;468.305;688.683;1.016.358;918.357;852.856;790.283;835.719;834.476;789.330;504.682;494.588;8.640.602;
UMBRIA;16.506;10.935;30.110;61.649;57.509;41.054;24.576;38.330;27.904;22.606;16.422;16.987;364.588;
VENETO;60.452;75.179;91.844;129.553;108.064;84.425;69.926;79.371;83.906;97.297;70.109;60.342;1.010.468;
Totale complessivo;3.263.857;3.534.297;5.078.565;6.923.683;6.316.672;5.650.803;4.835.319;5.409.783;5.090.606;5.044.369;3.292.801;3.289.747;57.730.502;
;;;;;;;;;;;;;;
