;"  Direzione generale Bilancio 
Servizio I
Ufficio di Statistica  ";;;;;;;;;;;;;
;Rilevazione 2019;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Visitatori ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;4.107;6.261;12.846;20.544;14.453;12.037;14.598;29.653;14.585;13.493;9.755;6.471;158.803;
BASILICATA;9.946;9.573;30.144;54.686;62.417;28.676;29.660;50.271;33.101;39.392;17.024;12.671;377.561;
CALABRIA;10.573;10.931;30.126;43.172;59.005;35.301;40.114;81.080;51.559;30.724;18.382;18.281;429.248;
CAMPANIA;573.408;443.091;823.435;1.262.098;1.197.760;943.216;902.774;988.574;946.697;991.717;516.702;499.608;10.089.080;
EMILIA ROMAGNA;41.836;47.130;124.606;190.265;140.785;77.882;66.727;95.997;95.119;106.660;91.595;72.885;1.151.487;
FRIULI-VENEZIA GIULIA;46.179;53.991;117.631;148.708;137.645;102.016;106.367;147.733;107.365;97.917;55.351;58.652;1.179.555;
LAZIO;1.332.173;1.928.879;2.353.736;2.557.802;3.032.225;2.215.694;2.320.583;2.188.309;2.276.084;2.345.115;1.563.850;1.497.752;25.612.202;
LIGURIA;14.365;21.430;42.642;39.774;31.206;21.651;23.281;32.344;19.221;32.780;12.152;32.595;323.441;
LOMBARDIA;99.706;98.842;212.638;233.575;220.291;153.351;166.838;210.900;170.098;179.704;140.105;120.840;2.006.888;
MARCHE;15.312;17.778;51.625;90.373;73.445;44.624;52.479;91.831;47.284;47.889;46.397;52.810;631.847;
MOLISE;1.191;1.772;4.611;15.001;11.514;10.506;6.586;14.840;6.566;5.473;4.474;3.682;86.216;
PIEMONTE;167.805;153.122;265.398;320.339;240.629;157.110;153.405;251.261;185.599;202.908;179.705;168.242;2.445.523;
PUGLIA;17.583;27.157;69.398;108.228;120.239;65.418;54.334;92.515;80.239;70.618;38.179;31.638;775.546;
SARDEGNA;7.011;7.597;20.423;55.043;71.747;57.703;72.006;90.023;73.765;32.515;8.663;9.971;506.467;
TOSCANA;367.578;414.127;731.649;830.608;775.217;756.574;723.826;761.596;730.649;722.688;473.796;440.268;7.728.576;
UMBRIA;11.895;10.062;26.340;43.741;30.785;24.922;37.389;42.781;27.964;25.102;16.491;21.052;318.524;
VENETO;47.397;54.116;113.754;121.147;121.618;101.461;82.206;83.721;95.848;105.627;55.852;42.046;1.024.793;
Totale complessivo;2.768.065;3.305.859;5.031.002;6.135.104;6.340.981;4.808.142;4.853.173;5.253.429;4.961.743;5.050.322;3.248.473;3.089.464;54.845.757;
;;;;;;;;;;;;;;
N.B. Nel  2019 i visitatori del Parco di Capodimonte - Napoli sono notevolmente diminuiti  a causa delle diverse chiusure verificatesi nel corso dell'anno  per motivi climatici.;;;;;;;;;;;;;;
