,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA ROMAGNA,FRIULI-VENEZIA GIULIA,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,TOSCANA,UMBRIA,VENETO,Totale complessivo
Aprile_2024,"38.734,00","44.655,00","94.882,00","8.203.240,23","424.653,56","287.232,00","24.017.000,00","70.459,00","1.246.328,50","215.805,00","34.863,00","1.877.920,60","322.151,00","175.800,50","9.751.867,55","112.822,00","516.999,24","47.435.413,18"
Maggio_2024,"33.042,00","41.879,00","114.423,00","10.167.079,39","386.183,20","304.189,00","16.079.747,50","96.196,00","1.387.511,50","186.325,00","27.382,00","1.451.450,50","413.956,00","270.912,10","12.285.528,10","103.943,50","557.676,88","43.907.424,67"
Giugno_2024,"29.629,00","34.794,00","119.181,00","9.110.110,76","282.274,58","271.913,00","13.640.026,50","71.981,60","1.264.381,00","195.862,00","34.048,00","882.627,90","301.034,50","253.488,70","10.209.691,20","90.441,50","436.269,52","37.227.754,76"
Luglio_2024,"39.323,00","34.005,00","149.194,00","7.915.427,42","227.397,14","301.378,50","12.312.923,00","75.143,60","1.252.112,00","226.939,00","30.583,00","736.832,10","224.004,00","284.899,00","9.404.025,25","145.514,50","291.867,22","33.651.567,73"
Agosto_2024,"104.746,00","67.101,00","326.534,00","8.289.129,26","313.648,40","419.794,50","13.206.533,50","97.463,00","1.317.290,50","406.573,00","75.082,00","1.324.826,70","343.997,00","348.791,40","9.429.650,75","204.094,00","314.316,80","36.589.571,81"
Settembre_2024,"38.153,00","44.977,00","236.190,00","10.211.694,26","340.791,56","308.285,50","15.270.908,00","82.915,20","1.334.524,50","310.602,00","40.647,00","1.098.014,00","443.014,00","392.268,10","9.956.953,40","166.467,25","463.572,66","40.739.977,43"
Ottobre_2024,"28.642,00","47.330,00","152.408,00","9.804.448,62","312.122,58","249.782,00","13.169.680,00","75.125,20","1.329.466,50","164.768,00","20.199,00","1.290.952,40","383.507,50","227.008,00","9.280.372,40","91.822,00","438.235,29","37.065.869,49"
Novembre_2024,"22.736,00","26.567,00","51.135,00","3.762.856,79","236.965,30","141.501,50","8.911.685,50","44.447,60","1.068.067,90","121.403,00","13.813,00","1.420.558,20","116.645,00","46.203,50","4.766.149,30","68.154,25","263.173,31","21.082.062,15"
Dicembre_2024,"20.852,00","21.514,00","57.262,00","3.097.042,00","199.594,00","160.439,50","8.164.764,50","33.966,60","1.028.569,50","127.096,00","10.341,00","1.447.054,70","97.060,00","29.499,70","5.491.870,60","64.482,00","199.981,30","20.251.389,40"
Totale_regione_2024,"412.475,00","428.448,00","1.394.737,00","80.316.519,46","3.406.107,04","2.881.182,00","154.764.990,00","784.053,80","14.178.965,90","2.243.382,00","319.349,00","15.581.675,30","2.919.301,00","2.156.586,10","94.811.132,90","1.197.004,25","4.208.435,99","382.004.344,75"
