;"Direzione Generale Bilancio
Servizio II
Ufficio di Statistica";;;;;;;;;;;;;
;Rilevazione 2015;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Visitatori ;;;;;;;;;;;;;;
"N.B. il numero dei visitatori de ""Il Vittoriano"" in Roma, non rilevabile fino al 2014, è stato assunto pari agli utilizzatori dell'ascensore che porta alla terrazza panoramica del monumento, in vista di una futura e più puntuale rilevazione delle presenze.";;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;5.551;5.956;10.308;19.082;19.953;9.865;12.882;39.116;13.971;7.440;6.603;10.268;160.995;
BASILICATA;9.995;5.241;14.489;42.310;42.004;19.989;18.488;38.432;26.144;18.784;10.903;9.305;256.084;
CALABRIA;13.388;9.736;20.063;41.108;51.582;28.160;30.806;74.362;35.372;23.713;14.592;14.633;357.515;
CAMPANIA;236.676;183.044;489.747;822.331;990.550;743.861;735.262;800.478;741.186;653.215;323.204;353.288;7.072.842;
EMILIA ROMAGNA;49.855;39.994;93.400;167.963;158.382;68.994;62.203;90.498;94.465;90.474;47.679;44.531;1.008.438;
FRIULI-VENEZIA GIULIA;23.260;18.896;106.347;157.099;154.468;141.971;127.069;147.691;111.757;111.778;47.330;66.882;1.214.548;
LAZIO;1.020.054;1.065.531;1.519.746;2.119.085;2.132.113;1.749.179;1.935.633;2.128.781;2.129.601;2.110.553;1.353.822;1.100.858;20.364.956;
LIGURIA;7.836;5.920;7.819;14.463;19.150;12.047;8.333;12.547;14.275;9.333;5.671;7.685;125.079;
LOMBARDIA;80.777;79.800;126.299;206.131;211.954;133.308;147.437;180.390;169.252;141.693;90.463;85.094;1.652.598;
MARCHE;22.904;13.024;36.838;83.673;76.374;36.868;40.062;85.635;43.673;26.138;18.231;30.128;513.548;
MOLISE;1.730;1.271;3.500;11.853;12.962;5.758;5.206;14.964;8.339;4.169;2.555;3.737;76.044;
PIEMONTE;114.660;54.590;95.369;271.748;299.551;196.335;110.324;191.371;142.509;165.212;140.838;159.421;1.941.928;
PUGLIA;10.501;13.636;32.836;85.555;108.220;46.753;44.122;87.246;65.116;45.807;25.451;25.974;591.217;
SARDEGNA;10.365;7.118;16.843;46.219;78.095;51.534;60.345;95.695;74.848;33.833;9.822;9.911;494.628;
TOSCANA;312.184;351.987;554.449;761.794;744.148;649.087;676.651;680.217;701.053;613.523;349.208;352.089;6.746.390;
UMBRIA;11.516;7.126;19.602;33.796;29.751;16.670;20.621;38.179;22.220;16.816;10.373;14.926;241.596;
VENETO;47.044;53.701;103.835;116.693;112.208;78.158;74.478;85.998;91.440;100.504;55.447;54.250;973.756;
Totale complessivo;1.978.296;1.916.571;3.251.490;5.000.903;5.241.465;3.988.537;4.109.922;4.791.600;4.485.221;4.172.985;2.512.192;2.342.980;43.792.162;
;;;;;;;;;;;;;;
