;"Direzione generale Bilancio 
Servizio I
Ufficio di Statistica                                  ";;;;;;;;;;;;;
;Rilevazione 2021;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Visitatori ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;;180;;11;1.531;3.848;10.887;19.469;8.581;5.705;2.799;2.556;55.567;
BASILICATA;462;779;;;3.127;10.880;26.644;42.801;25.591;15.916;7.937;7.433;141.570;
CALABRIA;;4.189;1.887;;3.871;14.454;38.998;72.336;38.987;18.827;8.488;8.130;210.167;
CAMPANIA;165.797;164.697;37.286;36.668;275.542;369.997;537.351;699.842;600.595;585.081;379.596;369.924;4.222.376;
EMILIA ROMAGNA;;4.327;21;887;39.383;50.382;56.316;74.216;71.686;82.706;52.268;40.986;473.178;
FRIULI-VENEZIA GIULIA;14.311;27.612;16.158;23.968;48.337;52.709;81.297;116.700;81.384;92.176;41.344;35.173;631.169;
LAZIO;13.881;88.016;51.608;33.688;292.848;457.783;747.239;823.493;752.763;814.139;662.355;588.338;5.326.151;
LIGURIA;5;518;342;;4.043;5.214;9.771;11.577;8.418;11.626;5.389;4.364;61.267;
LOMBARDIA;9;21.680;;759;53.531;73.493;103.473;127.375;103.419;107.324;83.572;79.824;754.459;
MARCHE;;1.502;;1.143;12.021;25.799;48.568;68.909;41.016;27.660;15.200;15.947;257.765;
MOLISE;255;376;134;350;2.975;5.161;9.343;22.273;7.477;5.055;2.812;1.381;57.592;
PIEMONTE;100;36.414;350;4.663;76.325;85.583;99.802;121.601;100.318;143.461;123.332;113.755;905.704;
PUGLIA;;1.300;1.503;;5.900;19.058;33.244;70.830;54.733;37.793;19.627;15.900;259.888;
SARDEGNA;204;1.007;1.323;;4.620;21.177;50.435;64.199;53.250;29.982;9.358;6.578;242.133;
TOSCANA;13.448;20.107;;1.210;147.174;218.719;375.683;477.179;402.597;405.953;309.714;282.378;2.654.162;
UMBRIA;;;;209;5.296;10.068;19.691;27.458;15.869;13.253;7.673;7.794;107.311;
VENETO;;8.665;1.321;1.224;28.404;41.541;56.315;73.790;62.157;71.681;50.308;42.735;438.141;
Totale complessivo;208.472;381.369;111.933;104.780;1.004.928;1.465.866;2.305.057;2.914.048;2.428.841;2.468.338;1.781.772;1.623.196;16.798.600;
;;;;;;;;;;;;;;
