;"Direzione generale Bilancio 
Servizio I
Ufficio di Statistica                                  ";;;;;;;;;;;;;
;Rilevazione 2024;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Visitatori ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;10.668;11.082;15.053;23.346;19.330;11.385;16.566;34.554;15.516;12.280;13.003;9.318;192.101;
BASILICATA;7.346;6.289;15.984;33.197;25.506;16.121;17.679;29.357;23.551;24.039;20.862;11.216;231.147;
CALABRIA;15.533;18.079;36.148;62.103;63.089;44.682;62.938;132.936;63.958;40.670;23.540;20.307;583.983;
CAMPANIA;431.360;507.614;862.502;1.376.008;1.273.172;995.972;852.795;910.754;976.910;1.079.998;565.180;456.209;10.288.474;
EMILIA ROMAGNA;50.583;56.553;106.110;154.053;125.419;72.049;54.790;72.168;79.265;73.088;70.091;53.000;967.169;
FRIULI-VENEZIA GIULIA;71.563;85.845;132.305;181.900;167.130;132.765;145.453;178.648;137.173;126.379;90.672;93.956;1.543.789;
LAZIO;1.944.284;2.015.386;2.518.135;3.562.827;2.931.994;2.704.357;2.524.116;2.452.205;2.698.479;2.741.673;1.886.847;1.748.928;29.729.231;
LIGURIA;13.575;9.652;18.920;28.685;29.739;18.119;19.264;22.399;20.127;17.168;13.539;11.233;222.420;
LOMBARDIA;120.250;130.247;196.060;251.354;242.716;200.000;205.122;192.496;184.979;186.734;143.122;126.851;2.179.931;
MARCHE;25.134;25.897;58.727;80.417;66.842;41.220;48.040;67.760;49.169;34.493;30.460;27.816;555.975;
MOLISE;2.815;3.827;7.833;13.137;10.704;8.124;7.819;17.281;9.051;5.855;5.269;3.020;94.735;
PIEMONTE;199.093;187.155;260.270;360.566;258.036;156.862;134.583;201.694;169.518;191.800;225.665;212.946;2.558.188;
PUGLIA;17.594;19.552;48.579;107.408;113.399;52.041;41.732;63.457;65.220;67.078;35.012;22.961;654.033;
SARDEGNA;10.001;10.632;18.721;50.571;77.310;72.726;71.402;84.217;84.734;53.350;14.995;9.579;558.238;
TOSCANA;422.136;535.587;750.214;1.023.363;1.062.599;876.510;841.209;828.578;833.872;801.097;577.729;554.001;9.106.895;
UMBRIA;13.675;12.679;25.694;43.551;32.943;24.697;40.733;50.120;37.680;24.263;23.131;19.163;348.329;
VENETO;57.424;79.179;99.773;129.998;116.084;85.559;72.956;79.710;90.779;98.371;70.311;55.309;1.035.453;
Totale complessivo;3.413.034;3.715.255;5.171.028;7.482.484;6.616.012;5.513.189;5.157.197;5.418.334;5.539.981;5.578.336;3.809.428;3.435.813;60.850.091;
;;;;;;;;;;;;;;
