;"Direzione Generale Bilancio
Servizio II
Ufficio di Statistica                                  ";;;;;;;;;;;;;
;Rilevazione 2017;;;;;;;;;;;;;
;MUSEI, MONUMENTI E AREE ARCHEOLOGICHE STATALI;;;;;;;;;;;;;
Tavola 5 - Serie regionale mensile Visitatori ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regione;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Totale complessivo;
ABRUZZO;4.797;5.537;10.555;15.361;15.662;9.199;11.877;18.432;9.262;9.391;7.055;6.333;123.461;
BASILICATA;5.440;4.967;14.926;37.960;41.218;21.170;16.288;33.014;25.121;29.549;11.456;9.311;250.420;
CALABRIA;15.585;14.893;24.612;56.797;62.820;38.773;53.449;110.723;50.700;30.688;15.580;14.582;489.202;
CAMPANIA;294.169;332.856;589.764;1.186.562;1.124.840;838.828;884.402;948.392;883.948;893.041;414.889;422.400;8.814.091;
EMILIA ROMAGNA;48.958;41.640;92.612;202.724;142.037;81.677;73.540;90.813;105.918;106.721;60.350;52.003;1.098.993;
FRIULI-VENEZIA GIULIA;44.538;30.805;95.019;199.950;153.842;109.135;118.407;175.925;130.513;106.788;51.617;65.196;1.281.735;
LAZIO;832.644;1.429.737;1.941.043;2.554.381;2.511.118;2.137.018;2.200.216;2.178.968;2.121.135;2.326.789;1.480.386;1.368.352;23.081.787;
LIGURIA;11.311;14.276;12.881;41.962;16.896;17.210;27.896;35.012;23.854;30.280;14.628;12.695;258.901;
LOMBARDIA;97.510;91.024;143.195;260.674;223.771;152.574;164.507;193.445;169.331;150.202;105.023;102.309;1.853.565;
MARCHE;17.073;14.896;31.250;74.917;56.725;38.858;49.709;80.787;45.415;31.483;21.855;34.027;496.995;
MOLISE;1.152;1.398;5.580;11.147;10.889;9.519;6.434;16.121;6.004;5.885;2.597;2.665;79.391;
PIEMONTE;192.569;132.976;184.689;392.354;248.806;168.744;155.437;275.462;179.723;238.297;162.367;298.088;2.629.512;
PUGLIA;16.763;19.560;42.354;113.136;119.857;63.745;58.468;99.631;84.553;69.820;34.111;29.381;751.379;
SARDEGNA;7.576;7.977;15.489;55.299;76.014;57.807;77.564;106.536;86.124;49.132;12.042;7.960;559.520;
TOSCANA;300.773;340.653;559.022;815.690;735.639;698.898;718.234;752.084;694.333;652.700;394.384;397.336;7.059.746;
UMBRIA;10.241;8.941;16.974;29.942;25.712;21.699;24.160;34.743;23.857;20.414;13.423;18.100;248.206;
VENETO;50.756;58.310;100.241;141.845;116.150;98.292;88.702;96.312;103.675;116.194;63.868;58.067;1.092.412;
Totale complessivo;1.951.855;2.550.446;3.880.206;6.190.701;5.681.996;4.563.146;4.729.290;5.246.400;4.743.466;4.867.374;2.865.631;2.898.805;50.169.316;
;;;;;;;;;;;;;;
